"","Company.Name","Address","City","State","ZIP.Code","Phone.Number.Combined","Primary.SIC.Code","Primary.SIC.Description","SIC.Code.1","SIC.Code.1.Description","Latitude","Longitude"
"22","African Market","3579 Maitland Dr","Raleigh","NC",27610,"(919) 231-0041",541105,"Grocers-Retail",541105,"Grocers-Retail",35.796689,-78.581633
"23","Airport Road BP","1201 Martin Luther King Jr Blv","Chapel Hill","NC",27514,"(919) 932-1500",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.945483,-79.058681
"24","Al-Kareem Grocery Store","10285 Chapel Hill Rd # 100","Morrisville","NC",27560,"(919) 336-3174",541105,"Grocers-Retail",541103,"Convenience Stores",35.833292,-78.828628
"25","Albaraka Market","4001 Hillsborough St","Raleigh","NC",27607,"(919) 838-5155",541103,"Convenience Stores",541103,"Convenience Stores",35.795093,-78.693009
"26","ALDI","2303 NW Maynard Rd","Cary","NC",27513,"Not Available",541105,"Grocers-Retail",541105,"Grocers-Retail",35.80285,-78.785932
"27","ALDI","1375 N Main St","Fuquay Varina","NC",27526,"(919) 552-8442",541105,"Grocers-Retail",541105,"Grocers-Retail",35.592517,-78.775879
"28","ALDI","750 Timber Dr","Garner","NC",27529,"Not Available",541105,"Grocers-Retail",541105,"Grocers-Retail",35.686277,-78.615643
"29","ALDI","2900 Sunrise Valley Pl","Raleigh","NC",27610,"Not Available",541105,"Grocers-Retail",541105,"Grocers-Retail",35.793985,-78.547506
"30","ALDI","4031 Wake Forest Rd","Raleigh","NC",27609,"(919) 876-9536",541105,"Grocers-Retail",541105,"Grocers-Retail",35.835965,-78.614355
"31","ALDI","4241 Louisburg Rd","Raleigh","NC",27604,"Not Available",541105,"Grocers-Retail",541105,"Grocers-Retail",35.842235,-78.576846
"32","ALDI","2132 S Main St","Wake Forest","NC",27587,"Not Available",541105,"Grocers-Retail",541105,"Grocers-Retail",35.94835,-78.53532
"33","Algeradi Abdul","1100 N Raleigh Blvd","Raleigh","NC",27610,"(919) 828-6003",599301,"Cigar Cigarette & Tobacco Dealers-Retail",541101,"Food Markets",35.794312,-78.611388
"34","Alkareem Grocery","10285 Chapel Hill Rd # 100","Morrisville","NC",27560,"(919) 336-3174",541105,"Grocers-Retail",541105,"Grocers-Retail",35.833292,-78.828628
"35","Allied Spectrum LLC","314 E Williams St","Apex","NC",27502,"(919) 267-5857",541103,"Convenience Stores",541103,"Convenience Stores",35.725224,-78.850509
"36","Almadina Supermarket","1019 Method Rd","Raleigh","NC",27606,"(919) 755-6220",541107,"Grocers-Ethnic Foods",514701,"Butchering (Whls)",35.784854,-78.693492
"37","Aloha P & C Corp","2201 New Hope Church Rd","Raleigh","NC",27604,"(919) 876-9672",541105,"Grocers-Retail",541105,"Grocers-Retail",35.835083,-78.601684
"38","Alta Petroleum LLC","5115 Western Blvd","Raleigh","NC",27606,"(919) 859-1338",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.786071,-78.712402
"39","Amalco Inc","2121 Garner Rd","Raleigh","NC",27610,"(919) 424-7643",541103,"Convenience Stores",541103,"Convenience Stores",35.751708,-78.630798
"40","Amish Country Market","2128 Jack Rd","Clayton","NC",27520,"(919) 989-0027",541101,"Food Markets",541101,"Food Markets",35.600812,-78.475692
"41","Angier Family Market","2128 Angier Ave","Durham","NC",27703,"(919) 797-2144",541103,"Convenience Stores",541103,"Convenience Stores",35.981112,-78.876605
"42","Antares Inc","1031 N King Charles Rd","Raleigh","NC",27610,"(919) 832-3687",541105,"Grocers-Retail",541105,"Grocers-Retail",35.794905,-78.609325
"43","Apna Desi Mart","10207 Chapel Hill Rd","Morrisville","NC",27560,"(919) 336-3104",541103,"Convenience Stores",541103,"Convenience Stores",35.827424,-78.827044
"44","Around The World Market","1708 E NC Highway 54","Durham","NC",27713,"(919) 572-5599",541105,"Grocers-Retail",541105,"Grocers-Retail",35.901957,-78.902424
"45","Around The World Market","6715 Hillsborough St # 100","Raleigh","NC",27606,"(919) 859-5403",541105,"Grocers-Retail",541105,"Grocers-Retail",35.788206,-78.743918
"46","ASA Check Cashing","1827 Garner Rd","Raleigh","NC",27610,"(919) 833-9049",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.756286,-78.63092
"47","ASA Convenience","1827 Garner Rd","Raleigh","NC",27610,"(919) 833-9044",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.756286,-78.63092
"48","Asa Food Mart","714 N White St","Wake Forest","NC",27587,"(919) 556-3339",541103,"Convenience Stores",541103,"Convenience Stores",35.987386,-78.500858
"49","Auntie Anne's Pretzels","6910 Fayetteville Rd # 226","Durham","NC",27713,"(919) 248-0894",546108,"Pretzels-Retail",205203,"Pretzels-Manufacturers",35.90504,-78.940771
"50","Avis Rent A Car","8216 Coosa Ct","Raleigh","NC",27616,"(919) 878-9729",751401,"Automobile Renting",541104,"Food Products-Retail",35.89154,-78.543195
"51","Azibi Brahim","200 S Wakefield St","Zebulon","NC",27597,"(919) 269-8219",541105,"Grocers-Retail",541103,"Convenience Stores",35.817557,-78.316655
"52","Azteca Market Inc","117 Meghan Cir","Selma","NC",27576,"(919) 965-6767",541105,"Grocers-Retail",541105,"Grocers-Retail",35.527683,-78.296734
"53","B J's Grocery","3317 Rolesville Rd","Wendell","NC",27591,"(919) 217-5884",541105,"Grocers-Retail",541105,"Grocers-Retail",35.848024,-78.446057
"54","Backyard Leisure LLC","3501 Capital Blvd # 124","Raleigh","NC",27604,"(919) 850-2200",599917,"Hot Tubs & Spas",179921,"Swimming Pool Contrs Dealers & Designers",35.82788,-78.586914
"55","Bagwells C-Stop Inc","3252 Auburn Knightdale Rd","Raleigh","NC",27610,"(919) 771-1530",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.719514,-78.519544
"56","Bar-S Foods Co","2101 Westinghouse Blvd # 109","Raleigh","NC",27604,"(919) 876-5757",201104,"Meat Products (Mfrs)",201104,"Meat Products (Mfrs)",35.808063,-78.595935
"57","Barham Enterprises Of Zebulon","8516 Cunningham Rd","Zebulon","NC",27597,"(919) 269-6774",541104,"Food Products-Retail",541104,"Food Products-Retail",35.848345,-78.343787
"58","Baskin-Robbins","800 Perry Rd","Apex","NC",27502,"(919) 303-5800",581203,"Ice Cream Parlors",545102,"Yogurt",35.720847,-78.844607
"59","Baskin-Robbins","2740 NC 55 Hwy # 102","Cary","NC",27519,"(919) 303-4334",581203,"Ice Cream Parlors",545102,"Yogurt",35.784439,-78.872069
"60","Baskin-Robbins","770 Enterprise Dr","Clayton","NC",27520,"(919) 359-8464",581203,"Ice Cream Parlors",545102,"Yogurt",35.656801,-78.476901
"61","Baskin-Robbins","2608 Erwin Rd # 156","Durham","NC",27705,"(919) 309-0000",581203,"Ice Cream Parlors",545102,"Yogurt",36.009553,-78.944885
"62","Baskin-Robbins","1450 N Main St","Fuquay Varina","NC",27526,"(919) 577-1150",581203,"Ice Cream Parlors",545102,"Yogurt",35.593594,-78.768317
"63","Baskin-Robbins","3570 Davis Dr","Morrisville","NC",27560,"(919) 469-4788",581203,"Ice Cream Parlors",545102,"Yogurt",35.818042,-78.84694
"64","Baskin-Robbins","2018 Cameron St","Raleigh","NC",27605,"(919) 828-1493",581203,"Ice Cream Parlors",545102,"Yogurt",35.790953,-78.660282
"65","Baskin-Robbins","2727 Capital Blvd","Raleigh","NC",27604,"(919) 875-9092",581203,"Ice Cream Parlors",545102,"Yogurt",35.816894,-78.601806
"66","Baskin-Robbins","5265 Six Forks Rd","Raleigh","NC",27609,"(919) 571-1303",581203,"Ice Cream Parlors",545102,"Yogurt",35.852969,-78.642774
"67","Bay Leaf Convenience & Deli","10701 Six Forks Rd","Raleigh","NC",27614,"(919) 847-7075",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.928732,-78.648794
"68","Beaver Pond Family Fare","2211 N Roxboro St","Durham","NC",27704,"(919) 220-7332",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.019323,-78.890306
"69","Benson Family Fare","11960 NC Highway 210","Benson","NC",27504,"(919) 938-0784",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.516538,-78.554011
"70","Benson Food Mart","700 Church St","Benson","NC",27504,"(919) 207-0724",541105,"Grocers-Retail",541105,"Grocers-Retail",35.421682,-78.53234
"71","Best Buy Grocery","8801 Old Stage Rd","Raleigh","NC",27603,"(919) 779-1144",541103,"Convenience Stores",541103,"Convenience Stores",35.65492,-78.666104
"72","Best Buy Grocery & Grill","3608 Benson Rd","Garner","NC",27529,"(919) 661-0059",541105,"Grocers-Retail",541103,"Convenience Stores",35.630676,-78.612487
"73","Bethesda BP","1529 S Miami Blvd","Durham","NC",27703,"(919) 598-6826",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.951623,-78.838427
"74","Big Apple Supermarket","112 W Vance St","Fuquay Varina","NC",27526,"(919) 557-4988",541103,"Convenience Stores",541103,"Convenience Stores",35.582308,-78.800414
"75","Big Boss Brewing","1249 Wicker Dr # A","Raleigh","NC",27604,"(919) 834-0045",541105,"Grocers-Retail",208201,"Brewers (Mfrs)",35.810419,-78.617922
"76","Big Spoon Roasters","4517 Hillsborough Rd # 101b","Durham","NC",27705,"(919) 309-9100",541104,"Food Products-Retail",541104,"Food Products-Retail",36.032708,-78.974974
"77","Bilboa Food Mart","3639 Angier Ave","Durham","NC",27703,"(919) 596-9967",541105,"Grocers-Retail",541103,"Convenience Stores",35.956644,-78.851886
"78","Billys Mart","3834 Cheek Rd","Durham","NC",27704,"(919) 683-6300",541103,"Convenience Stores",541103,"Convenience Stores",36.021695,-78.810262
"79","Bitter Melon Asian Market","9625 Bitter Melon Dr","Angier","NC",27501,"(919) 639-2422",541101,"Food Markets",541101,"Food Markets",35.539951,-78.748075
"80","BJ'S Wholesale Club","2370 Walnut St","Cary","NC",27518,"(919) 854-2777",531110,"Wholesale Clubs",519908,"General Merchandise-Wholesale",35.755701,-78.745912
"81","BJ'S Wholesale Club","255 Shenstone Ln","Garner","NC",27529,"(919) 661-3781",531110,"Wholesale Clubs",531102,"Department Stores",35.68984,-78.57519
"82","BJ'S Wholesale Club","8811 Brier Creek Pkwy","Raleigh","NC",27617,"(919) 806-5000",531110,"Wholesale Clubs",531102,"Department Stores",35.902147,-78.78871
"83","Blackmon's Gas & Grocery","917 E Main St","Benson","NC",27504,"(919) 207-0198",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.375415,-78.537119
"84","Blalock's Convenience Store","13210 Roxboro Rd","Rougemont","NC",27572,"(919) 471-6060",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.223054,-78.92778
"85","Bobby's Grocery & Grill","3114 Garner Rd","Raleigh","NC",27610,"(919) 779-0964",541103,"Convenience Stores",541103,"Convenience Stores",35.738281,-78.629882
"86","Bojangles' Famous Chicken","1513 N Arendell Ave","Zebulon","NC",27597,"(919) 404-2272",581208,"Restaurants",541104,"Food Products-Retail",35.839904,-78.326477
"87","Bombay Biz","3344 Six Forks Rd","Raleigh","NC",27609,"(919) 878-4530",737311,"Website Design Service",541105,"Grocers-Retail",35.826391,-78.633827
"88","Bonanza Mini-Mart","2015 Village Park Dr","Knightdale","NC",27545,"(919) 373-0021",541103,"Convenience Stores",541103,"Convenience Stores",35.797302,-78.493286
"89","Boston Market","1800 E Franklin St # E","Chapel Hill","NC",27514,"(919) 942-4600",581208,"Restaurants",541105,"Grocers-Retail",35.936604,-79.025588
"90","BP","2108 Avondale Dr","Durham","NC",27704,"(919) 220-4080",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.0163,-78.888622
"91","BP","4525 Durham Chapel Hill Blvd","Durham","NC",27707,"(919) 489-5120",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.961236,-78.976176
"92","BP","1535 US 70 Hwy W","Garner","NC",27529,"(919) 779-4555",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.692408,-78.564319
"93","BP Food Shops","400 Buckhorn Rd","Mebane","NC",27302,"(919) 563-5002",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.077704,-79.223737
"94","BP Food Shops","3616 Poole Rd","Raleigh","NC",27610,"(919) 212-0095",554101,"Service Stations-Gasoline & Oil",516948,"Gasoline Additive-Distributors (Whls)",35.76737,-78.576571
"95","BP Food Shops","905 S Pollock St","Selma","NC",27576,"(919) 965-7257",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.528503,-78.291625
"96","BP Gas Mart","10831 NC Highway 50 N","Benson","NC",27504,"(919) 894-5921",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.519825,-78.579152
"97","BP West Campus","2432 Erwin Rd","Durham","NC",27705,"(919) 416-4483",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.009162,-78.942323
"98","Breeze Thru","2300 Old NC Highway 86","Hillsborough","NC",27278,"(919) 732-7422",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.051009,-79.102047
"99","Brogden Community Mart & Grill","7323 Brogden Rd","Smithfield","NC",27577,"(919) 989-7041",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.466088,-78.240435
"100","Brotherhood","300 S Pollock St","Selma","NC",27576,"(919) 965-9001",541103,"Convenience Stores",541103,"Convenience Stores",35.534301,-78.286499
"101","Buffalo Road Grocery","5700 Buffaloe Rd","Raleigh","NC",27616,"(919) 872-2340",541105,"Grocers-Retail",541105,"Grocers-Retail",35.836859,-78.543678
"102","Bull Market","5100 Guess Rd","Durham","NC",27712,"(919) 471-3515",541103,"Convenience Stores",541103,"Convenience Stores",36.08333,-78.930759
"103","Bull Market","801 S New Hope Rd","Raleigh","NC",27610,"(919) 682-9168",541103,"Convenience Stores",541103,"Convenience Stores",35.764471,-78.558886
"104","Buy & Go","106 Ephesus Church Rd","Chapel Hill","NC",27517,"(919) 928-9555",541103,"Convenience Stores",541103,"Convenience Stores",35.935446,-79.021853
"105","Buy & Go","5850 Fayetteville Rd # 204","Durham","NC",27713,"(919) 206-4400",541103,"Convenience Stores",541103,"Convenience Stores",35.919951,-78.930192
"106","Buy & Go","2701 S Saunders St","Raleigh","NC",27603,"(919) 833-9393",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.745305,-78.648477
"107","Buy & Go","5308 Hillsborough St","Raleigh","NC",27606,"(919) 859-5322",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.79132,-78.715698
"108","Buy Quick Food Marts","419 S Briggs Ave","Durham","NC",27703,"(919) 596-8380",541103,"Convenience Stores",541103,"Convenience Stores",35.981085,-78.874765
"109","By Quick Food Mart","","Durham","NC",27703,"(919) 596-0320",541105,"Grocers-Retail",541105,"Grocers-Retail",35.881968,-78.846454
"110","Byrd's Gas & Grocery","1051 NC Highway 242 S","Benson","NC",27504,"(919) 894-8126",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.364021,-78.538355
"111","C Mini Mart","1001 High House Rd # A","Cary","NC",27513,"(919) 319-9955",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.789268,-78.829837
"112","C Mini Mart","1921 Bass Lake Rd","Fuquay Varina","NC",27526,"(919) 567-3287",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.62816,-78.780295
"113","C Mini Mart","1200 Edwards Mill Rd","Raleigh","NC",27607,"(919) 816-0355",541103,"Convenience Stores",541103,"Convenience Stores",35.799316,-78.726684
"114","C Mini Mart","3405 Poole Rd","Raleigh","NC",27610,"(919) 231-6412",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.769287,-78.5802
"115","C Mini Mart","7400 Louisburg Rd","Raleigh","NC",27616,"(919) 876-6181",541103,"Convenience Stores",541103,"Convenience Stores",35.874558,-78.540941
"116","C Mini Mart","902a US Highway 64 W","Wendell","NC",27591,"(919) 462-8332",541103,"Convenience Stores",541103,"Convenience Stores",35.7443,-78.397221
"117","C-Mart","2407 E Club Blvd","Durham","NC",27704,"(919) 682-3234",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",36.026073,-78.849682
"118","C-Mini Mart","8015 Chapel Hill Rd","Cary","NC",27513,"(919) 469-3734",541105,"Grocers-Retail",541103,"Convenience Stores",35.793288,-78.768594
"119","C-Mini Mart 12","5420 Fayetteville Rd","Raleigh","NC",27603,"(919) 772-4839",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.705322,-78.663513
"120","Cacique Food Market","7432 Capital Blvd","Raleigh","NC",27616,"(919) 876-6111",541105,"Grocers-Retail",541105,"Grocers-Retail",35.884435,-78.567804
"121","Calles Ambrocio","3922 Atlantic Ave","Raleigh","NC",27604,"(919) 876-4099",541105,"Grocers-Retail",541105,"Grocers-Retail",35.836315,-78.601875
"122","Calvander Food Mart","108 Dairyland Rd","Chapel Hill","NC",27516,"(919) 942-8225",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.942605,-79.110173
"123","Camco Foods","7008 Harps Mill Rd","Raleigh","NC",27615,"(919) 841-0042",541104,"Food Products-Retail",541104,"Food Products-Retail",35.880326,-78.627578
"124","Capital Mart LLC","5447 NC Highway 42 W","Garner","NC",27529,"(919) 772-5288",541103,"Convenience Stores",541103,"Convenience Stores",35.604997,-78.56625
"125","Carboro Food Mart","207 W Main St","Carrboro","NC",27510,"(919) 929-3733",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.910877,-79.076495
"126","Carlie C's IGA Inc","604 S Wall St","Benson","NC",27504,"(919) 207-1128",541105,"Grocers-Retail",541105,"Grocers-Retail",35.37782,-78.553713
"127","Carlie C's IGA Inc","3729 Wake Forest Rd","Durham","NC",27703,"(919) 596-9221",541105,"Grocers-Retail",541105,"Grocers-Retail",35.982336,-78.821749
"128","Carlie C's IGA Inc","1514 Garner Station Blvd","Raleigh","NC",27603,"(919) 329-0970",541105,"Grocers-Retail",531104,"Retail Shops",35.725758,-78.653175
"129","Carlie C's IGA Inc","4111 New Bern Ave","Raleigh","NC",27610,"(919) 250-7876",541105,"Grocers-Retail",541105,"Grocers-Retail",35.801142,-78.565266
"130","Carly C Iga","506 W Gannon Ave","Zebulon","NC",27597,"(919) 269-4111",541105,"Grocers-Retail",541105,"Grocers-Retail",35.821395,-78.324725
"131","Carolina Foodmart","1002 N Alston Ave","Durham","NC",27701,"(919) 688-5752",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.994746,-78.885623
"132","Carolina International Market","3605 Bastion Ln","Raleigh","NC",27604,"(919) 255-1640",541105,"Grocers-Retail",541105,"Grocers-Retail",35.79834,-78.585207
"133","Carrboro Farmers Market","301 W Main St","Carrboro","NC",27510,"(919) 967-2752",541105,"Grocers-Retail",541101,"Food Markets",35.911487,-79.077674
"134","Carrboro Mini Mart","502 W Main St","Carrboro","NC",27510,"(919) 942-1620",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.912876,-79.07802
"135","Cary Minimart","602 W Chatham St","Cary","NC",27511,"(919) 481-4006",541103,"Convenience Stores",541103,"Convenience Stores",35.786071,-78.791076
"136","Casa Las Americas","101 Reed St # B","Cary","NC",27511,"(919) 380-0065",541105,"Grocers-Retail",541105,"Grocers-Retail",35.790138,-78.762928
"137","Casablanca Market-Fresh Helal","1365 SE Maynard Rd","Cary","NC",27511,"(919) 469-5671",541105,"Grocers-Retail",541105,"Grocers-Retail",35.788147,-78.764001
"138","Caspian International Food","2909 Brentwood Rd","Raleigh","NC",27604,"(919) 954-0029",541105,"Grocers-Retail",541105,"Grocers-Retail",35.819146,-78.596123
"139","Cedar Village","618 Weaver Dairy Rd","Chapel Hill","NC",27514,"(919) 929-8368",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.962074,-79.034364
"140","Cedar Village Family Fare","618 Weaver Dairy Rd","Chapel Hill","NC",27514,"(919) 929-9369",541103,"Convenience Stores",541103,"Convenience Stores",35.962074,-79.034364
"141","Center Street Grocery Store","808 Center St","Apex","NC",27502,"(919) 267-9427",541105,"Grocers-Retail",541105,"Grocers-Retail",35.728421,-78.839855
"142","Central Mini Mart","1300 Oakwood Ave","Raleigh","NC",27610,"(919) 833-5301",541103,"Convenience Stores",541103,"Convenience Stores",35.784091,-78.621831
"143","CFW Vending","3200 Lake Woodard Dr # 104","Raleigh","NC",27604,"(919) 231-0050",541102,"Snack Products",541102,"Snack Products",35.801935,-78.590933
"144","Cinnanmonster","1058 W Club Blvd","Durham","NC",27701,"(919) 286-3161",541104,"Food Products-Retail",514957,"Food Facilities (Whls)",36.019627,-78.910849
"145","Circle B","601 N Main St","Holly Springs","NC",27540,"(919) 346-1363",541103,"Convenience Stores",541103,"Convenience Stores",35.66107,-78.836488
"146","Circle K","100 W Woodcroft Pkwy","Durham","NC",27713,"(919) 544-6365",541103,"Convenience Stores",541103,"Convenience Stores",35.923972,-78.927029
"147","Circle K","109 W NC Highway 54","Durham","NC",27713,"(919) 484-9078",541103,"Convenience Stores",541103,"Convenience Stores",35.9105,-78.936502
"148","Circle K","3308 Apex Hwy # 55","Durham","NC",27713,"(919) 544-0100",541103,"Convenience Stores",541103,"Convenience Stores",35.933243,-78.888304
"149","Circle K","4019 Davis Dr","Morrisville","NC",27560,"(919) 380-8846",541103,"Convenience Stores",541103,"Convenience Stores",35.837457,-78.856949
"150","Circle K","4100 Western Blvd","Raleigh","NC",27606,"(919) 851-4583",541103,"Convenience Stores",541103,"Convenience Stores",35.784484,-78.694213
"151","Circle K","4400 Louisburg Rd","Raleigh","NC",27616,"(919) 790-9099",541103,"Convenience Stores",541103,"Convenience Stores",35.842529,-78.572998
"152","Circle K","4501 Delta Lake Dr","Raleigh","NC",27612,"(919) 510-7976",541103,"Convenience Stores",541103,"Convenience Stores",35.856323,-78.711608
"153","Circle K","500 Fayetteville St","Raleigh","NC",27601,"(919) 779-3568",541103,"Convenience Stores",541103,"Convenience Stores",35.773609,-78.640107
"154","Circle K","5009 Fayetteville Rd","Raleigh","NC",27603,"(919) 779-3568",541103,"Convenience Stores",541103,"Convenience Stores",35.711659,-78.657525
"155","Circus Food Store","3801 Wake Forest Rd","Durham","NC",27703,"(919) 596-6696",541105,"Grocers-Retail",541105,"Grocers-Retail",35.981746,-78.820549
"156","CITGO","1007 N Miami Blvd","Durham","NC",27703,"(919) 682-6611",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.993274,-78.870065
"157","CITGO Foodmart","2500 Burlington Mills Rd","Wake Forest","NC",27587,"(919) 554-3700",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.917907,-78.546325
"158","CITGO North Durham","4535 N Roxboro St","Durham","NC",27704,"(919) 477-4700",554101,"Service Stations-Gasoline & Oil",517201,"Petroleum Products (Whls)",36.05871,-78.90375
"159","Citizen Yogurt","6300 Creedmoor Rd # 182","Raleigh","NC",27612,"(919) 848-4221",545102,"Yogurt",545102,"Yogurt",35.871887,-78.678283
"160","City Market","214 E Martin St","Raleigh","NC",27601,"(919) 836-0907",541101,"Food Markets",541101,"Food Markets",35.776502,-78.635986
"161","Classic Food Svc","500 Gregson Dr","Cary","NC",27511,"(919) 469-1529",541104,"Food Products-Retail",541104,"Food Products-Retail",35.734406,-78.814984
"162","Classic Silver Wok Gourmet","7 Mariakakis Plz","Chapel Hill","NC",27514,"(919) 933-2423",541105,"Grocers-Retail",541105,"Grocers-Retail",35.933246,-79.02554
"163","Colony Exxon Shop","5436 Six Forks Rd","Raleigh","NC",27609,"(919) 870-7839",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.855712,-78.641113
"164","Community Food Mart","812 W Academy St","Fuquay Varina","NC",27526,"(919) 552-2067",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.581115,-78.819091
"165","Community Mart","10128 Old Stage Rd","Raleigh","NC",27603,"(919) 772-1451",541103,"Convenience Stores",541103,"Convenience Stores",35.635314,-78.671813
"166","Community Mart","201 Bragg St","Raleigh","NC",27601,"(919) 828-5682",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.766113,-78.637023
